103.20.222.133:443#HK 56.13ms
154.31.113.72:443#JP 79.37ms
166.88.77.171:54321#HK 109.88ms
101.42.10.90:443#CN 79.43ms
154.92.9.75:443#CY 169.55ms
154.92.9.33:443#CY 154.15ms
154.92.9.43:443#CY 391.46ms
154.92.9.159:443#CY 232.45ms
154.92.9.223:443#CY 167.71ms
154.92.9.31:443#CY 188.85ms
154.92.9.246:443#CY 165.9ms
154.92.9.98:443#CY 185.24ms
154.92.9.163:443#CY 383.2ms
154.92.9.80:443#CY 262.6ms
154.92.9.166:443#CY 381.65ms
154.92.9.18:443#CY 262.21ms
154.92.9.65:443#CY 208.66ms
154.92.9.74:443#CY 245.1ms
154.92.9.122:443#CY 173.15ms
154.92.9.192:443#CY 283.89ms
154.92.9.9:443#CY 224.71ms
154.92.9.155:443#CY 167.86ms
154.92.9.62:443#CY 213.21ms
154.92.9.162:443#CY 173.4ms
154.92.9.232:443#CY 308.89ms
154.92.9.26:443#CY 207.46ms
103.160.204.206:443#HK 186.16ms
154.92.9.184:443#CY 466.62ms
154.92.9.39:443#CY 436.26ms
154.92.9.28:443#CY 359.81ms
154.92.9.235:443#CY 170.14ms
154.92.9.94:443#CY 178.53ms
154.92.9.38:443#CY 178.99ms
154.92.9.59:443#CY 215.11ms
154.92.9.45:443#CY 247.11ms
154.92.9.15:443#CY 205.66ms
154.92.9.189:443#CY 290.72ms
154.92.9.95:443#CY 258.14ms
154.92.9.5:443#CY 246.79ms
154.92.9.21:443#CY 170ms
154.92.9.22:443#CY 172.44ms
154.92.9.186:443#CY 286.07ms
154.92.9.55:443#CY 263.79ms
154.92.9.179:443#CY 164.75ms
154.92.9.132:443#CY 183.69ms
154.92.9.105:443#CY 181.88ms
154.92.9.152:443#CY 291.34ms
154.92.9.63:443#CY 181.86ms
154.92.9.231:443#CY 201.41ms
154.92.9.154:443#CY 202.49ms
103.160.204.218:443#HK 223.15ms
154.92.9.81:443#CY 326.55ms
103.160.204.251:443#HK 612.02ms
154.92.9.37:443#CY 275.28ms
154.92.9.2:2083#CY 322.68ms
154.92.9.194:443#CY 231.99ms
154.92.9.66:443#CY 282.65ms
154.92.9.25:443#CY 284.67ms
103.160.204.53:443#HK 357.64ms
154.92.9.54:443#CY 203.66ms
154.92.9.91:443#CY 186.75ms
154.92.9.116:443#CY 181.3ms
154.92.9.168:443#CY 273.09ms
103.160.204.234:443#HK 524.78ms
154.92.9.36:443#CY 321.97ms
154.92.9.199:443#CY 170.54ms
154.92.9.198:443#CY 165.21ms
154.92.9.13:443#CY 221.27ms
154.92.9.135:443#CY 348.7ms
154.92.9.157:443#CY 276.54ms
154.92.9.127:443#CY 174.15ms
23.224.33.238:38057#US 260.98ms
103.160.204.105:443#HK 354.89ms
154.92.9.227:443#CY 295.32ms
154.92.9.197:443#CY 393.33ms
8.210.214.20:34237#HK 47.21ms
103.160.204.82:443#HK 383.41ms
154.92.9.169:443#CY 253.48ms
103.160.204.76:443#HK 172.86ms
103.160.204.180:443#HK 198.77ms
154.92.9.224:443#CY 174.88ms
154.92.9.3:443#CY 182.63ms
103.232.213.110:443#JP 77.66ms
154.23.207.16:2053#US 196.61ms
154.92.9.23:443#CY 187.94ms
154.92.9.243:443#CY 350.9ms
154.92.9.73:443#CY 188.16ms
154.92.9.96:443#CY 334.72ms
103.20.223.65:34237#HK 55.05ms
154.92.9.101:443#CY 176.35ms
154.92.9.185:443#CY 394.37ms
154.92.9.253:443#CY 314.58ms
103.160.204.62:443#HK 173.72ms
154.92.9.19:443#CY 168.63ms
82.157.247.113:443#CN 187.55ms
101.43.240.3:443#CN 199.21ms
192.144.211.146:443#CN 27.43ms
154.92.9.137:443#CY 355.07ms
154.92.9.93:443#CY 205.33ms
154.92.9.209:443#CY 177.82ms
